ProblemType:	SP-CARP
NumberNodes:	795
NumberEdges:	1106
DepotNodeNumber:	0
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	3	7	14	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2
72	117	102	100	96	0	0	2346	7	0	0
73	118	103	104	150	0	0	1428	4	0	0
74	119	104	105	85	0	0	1530	3	0	0
75	121	107	106	28	0	0	0	0	0	0
76	122	108	107	93	0	0	1530	3	0	0
77	123	109	110	122	0	0	0	0	0	0
78	124	111	110	107	0	0	816	4	0	0
79	125	112	113	111	0	0	0	0	612	3
80	126	113	114	91	0	0	510	1	204	1
81	127	115	113	128	0	0	0	0	204	1
82	128	113	116	74	0	0	0	0	816	4
83	129	116	117	85	0	0	0	0	408	2
84	130	118	119	115	0	0	0	0	0	0
85	131	120	118	72	0	0	4202	9	0	0
86	132	121	122	182	0	0	1530	3	2652	13
87	133	121	123	22	0	0	0	0	0	0
88	134	124	125	26	0	0	0	0	0	0
89	135	126	127	40	0	0	0	0	0	0
90	136	128	124	97	0	0	0	0	612	3
91	137	125	126	102	0	0	0	0	816	4
92	138	129	130	228	0	0	2040	4	3672	18
93	139	131	132	197	2040	4	0	0	0	0
94	140	133	134	56	0	0	1938	8	0	0
95	142	83	135	11	0	0	0	0	0	0
96	143	136	137	133	0	0	2244	5	0	0
97	144	59	58	63	0	0	0	0	0	0
98	145	58	138	43	0	0	1020	2	0	0
99	146	139	86	30	0	0	0	0	0	0
100	147	57	140	66	0	0	0	0	0	0
101	148	141	142	72	0	0	0	0	0	0
102	149	143	144	16	0	0	0	0	0	0
103	150	145	146	47	0	0	0	0	0	0
104	151	139	147	93	0	0	2346	7	0	0
105	152	148	133	20	0	0	0	0	0	0
106	153	135	149	92	0	0	1530	3	0	0
107	154	142	150	88	0	0	918	3	0	0
108	155	146	144	56	0	0	0	0	0	0
109	156	141	151	9	0	0	0	0	0	0
110	157	149	148	81	0	0	204	1	0	0
111	158	152	136	143	0	0	3468	8	0	0
112	159	152	134	34	0	0	0	0	0	0
113	160	145	147	16	0	0	0	0	0	0
114	161	143	151	53	0	0	0	0	0	0
115	162	150	83	65	0	0	0	0	0	0
116	163	86	140	15	0	0	0	0	0	0
117	164	153	154	91	0	0	510	1	0	0
118	165	155	156	121	0	0	510	1	0	0
119	166	156	153	94	0	0	510	1	0	0
120	167	157	155	104	0	0	714	2	0	0
121	170	154	158	101	0	0	1224	3	0	0
122	172	159	158	144	0	0	714	2	0	0
123	173	160	161	83	0	0	204	1	0	0
124	174	135	30	154	0	0	1530	3	816	4
125	175	31	162	118	0	0	0	0	204	1
126	176	162	72	71	0	0	0	0	204	1
127	177	161	159	57	0	0	408	2	0	0
128	178	163	160	204	0	0	1938	5	0	0
129	179	72	163	139	0	0	918	3	0	0
130	180	164	158	480	0	0	0	0	0	0
131	183	165	166	49	0	0	1020	2	0	0
132	188	169	170	17	0	0	0	0	0	0
133	189	171	167	77	0	0	2754	6	0	0
134	190	172	173	125	0	0	3573	10	0	0
135	191	172	169	21	0	0	0	0	0	0
136	192	167	169	60	0	0	2040	4	0	0
137	193	173	174	70	0	0	1020	2	0	0
138	194	175	176	175	1530	3	1020	2	3468	17
139	195	177	178	37	0	0	0	0	204	1
140	196	179	180	176	0	0	0	0	3060	15
141	197	180	130	157	0	0	1020	2	2448	12
142	198	181	182	69	0	0	0	0	1020	5
143	199	183	184	219	0	0	1020	2	0	0
144	200	185	186	10	0	0	0	0	0	0
145	201	186	184	170	0	0	3919	11	0	0
146	203	187	188	84	0	0	1530	3	0	0
147	204	189	190	96	0	0	0	0	1224	6
148	205	191	192	76	0	0	1020	2	0	0
149	206	190	191	26	0	0	0	0	0	0
150	207	152	193	60	0	0	2244	5	0	0
151	208	193	194	90	0	0	612	3	0	0
152	211	195	196	56	0	0	2040	4	0	0
153	212	197	195	56	0	0	0	0	0	0
154	213	196	198	48	0	0	2040	4	0	0
155	215	199	200	188	0	0	0	0	3468	17
156	216	201	200	13	0	0	0	0	0	0
157	217	202	203	112	0	0	0	0	1224	6
158	218	204	205	207	0	0	3060	6	0	0
159	219	205	206	98	0	0	1020	2	0	0
160	220	204	207	79	0	0	0	0	0	0
161	221	208	209	76	0	0	1020	2	0	0
162	222	210	211	238	0	0	1020	2	2244	11
163	223	212	213	112	0	0	0	0	0	0
164	224	214	215	133	0	0	3514	11	0	0
165	225	216	32	356	0	0	0	0	4600	42
166	226	217	218	22	0	0	0	0	0	0
167	227	218	219	162	2040	4	204	1	0	0
168	230	220	221	180	0	0	3774	8	0	0
169	231	222	223	23	0	0	0	0	204	1
170	232	224	222	105	0	0	0	0	1020	5
171	233	225	226	213	1020	2	0	0	4812	26
172	234	227	228	79	0	0	0	0	2156	11
173	235	229	230	46	0	0	0	0	1224	6
174	236	231	232	213	0	0	816	4	1836	9
175	237	233	234	273	0	0	3999	19	0	0
176	238	235	43	183	0	0	1836	6	0	0
177	239	236	237	86	0	0	1530	3	0	0
178	240	238	236	66	0	0	510	1	0	0
179	241	239	240	16	0	0	0	0	0	0
180	242	240	119	102	0	0	1020	2	0	0
181	244	241	242	142	3060	6	0	0	0	0
182	245	243	244	131	0	0	714	2	1428	7
183	246	245	246	129	0	0	1020	2	612	3
184	247	29	247	19	0	0	0	0	204	1
185	248	248	27	57	0	0	0	0	204	1
186	249	249	27	108	2040	4	0	0	0	0
187	250	250	251	120	0	0	510	1	1340	7
188	251	252	253	105	0	0	3060	6	0	0
189	252	38	254	27	0	0	0	0	0	0
190	253	174	254	129	0	0	2550	5	0	0
191	254	255	252	117	510	1	408	2	0	0
192	255	253	171	28	0	0	0	0	0	0
193	256	256	257	132	0	0	3060	6	204	1
194	257	258	259	32	0	0	0	0	0	0
195	258	260	261	51	0	0	0	0	0	0
196	259	260	257	24	0	0	0	0	0	0
197	260	262	263	112	0	0	2142	6	0	0
198	261	263	156	75	0	0	204	1	0	0
199	262	264	265	76	0	0	1020	2	0	0
200	263	266	256	46	0	0	0	0	0	0
201	264	261	258	60	0	0	204	1	0	0
202	265	259	264	70	0	0	0	0	0	0
203	266	265	262	95	0	0	714	2	0	0
204	267	151	267	228	0	0	4092	13	0	0
205	268	267	266	116	0	0	2448	6	0	0
206	269	268	269	36	0	0	0	0	0	0
207	270	270	271	35	0	0	0	0	0	0
208	271	272	273	35	0	0	1224	3	204	1
209	273	274	164	25	0	0	1020	2	0	0
210	274	63	93	21	0	0	0	0	0	0
211	275	275	276	57	0	0	0	0	0	0
212	276	277	278	67	0	0	0	0	0	0
213	277	98	271	44	0	0	204	1	0	0
214	278	137	255	92	0	0	0	0	0	0
215	279	279	268	39	0	0	0	0	0	0
216	280	280	278	7	0	0	0	0	0	0
217	281	269	272	29	0	0	204	1	0	0
218	282	281	279	113	0	0	1020	2	0	0
219	283	282	93	69	0	0	0	0	0	0
220	284	63	283	55	0	0	0	0	0	0
221	285	283	277	74	0	0	2244	5	0	0
222	286	255	108	112	0	0	1020	2	0	0
223	287	273	274	26	0	0	0	0	0	0
224	288	282	276	13	0	0	0	0	0	0
225	289	280	281	82	0	0	0	0	0	0
226	290	270	275	74	0	0	510	1	0	0
227	291	108	98	59	0	0	1020	2	0	0
228	294	265	285	81	0	0	1836	6	0	0
229	295	285	286	35	0	0	204	1	204	1
230	297	287	284	40	0	0	0	0	0	0
231	298	288	289	36	0	0	0	0	0	0
232	299	285	74	59	0	0	1224	3	204	1
233	300	289	265	101	0	0	1020	2	0	0
234	301	74	161	145	0	0	714	2	0	0
235	302	287	288	100	0	0	0	0	0	0
236	303	290	291	64	0	0	0	0	0	0
237	304	292	293	59	0	0	0	0	0	0
238	305	294	295	35	0	0	510	1	0	0
239	306	290	292	34	0	0	0	0	0	0
240	307	293	163	185	0	0	0	0	0	0
241	308	296	163	88	0	0	1938	5	0	0
242	309	260	295	101	0	0	2040	4	0	0
243	310	297	298	120	0	0	2040	4	1428	7
244	311	299	300	109	0	0	0	0	1020	5
245	312	301	302	122	0	0	204	1	612	3
246	313	303	304	120	0	0	3060	6	0	0
247	314	305	306	116	0	0	0	0	3264	16
248	315	307	308	118	0	0	1938	5	0	0
249	316	309	307	226	0	0	3543	9	3788	19
250	317	310	309	65	0	0	0	0	612	3
251	318	311	312	203	510	1	0	0	5132	38
252	319	312	310	252	0	0	0	0	4284	21
253	320	313	314	254	0	0	3556	18	0	0
254	322	315	316	105	0	0	2550	5	0	0
255	323	317	318	109	0	0	2040	4	0	0
256	324	319	320	109	0	0	3060	6	0	0
257	325	321	322	53	0	0	2244	5	0	0
258	326	323	324	76	0	0	1020	2	0	0
259	327	325	326	77	0	0	510	1	0	0
260	328	327	328	225	0	0	3816	18	0	0
261	329	282	329	242	2040	4	3505	12	0	0
262	330	44	330	86	0	0	510	1	0	0
263	331	47	331	208	0	0	3973	16	0	0
264	332	39	332	44	0	0	1530	3	0	0
265	333	333	334	85	0	0	2040	4	0	0
266	334	334	104	28	0	0	0	0	0	0
267	335	335	170	261	0	0	1734	4	0	0
268	336	336	335	90	0	0	0	0	0	0
269	337	170	172	16	0	0	0	0	0	0
270	338	271	336	110	0	0	510	1	0	0
271	340	106	252	96	0	0	1020	2	0	0
272	342	337	171	86	0	0	510	1	0	0
273	343	338	174	76	0	0	510	1	0	0
274	344	339	340	111	204	1	1020	2	0	0
275	345	341	340	144	1020	2	2040	4	0	0
276	346	342	341	43	0	0	0	0	0	0
277	347	343	344	96	0	0	0	0	1836	9
278	348	345	346	138	0	0	2448	6	612	3
279	349	347	348	151	0	0	1020	2	0	0
280	350	349	350	221	0	0	1020	2	2652	13
281	351	351	352	427	0	0	4337	20	1836	9
282	352	353	354	424	0	0	3678	25	0	0
283	353	355	356	134	0	0	2346	10	0	0
284	354	193	357	163	0	0	204	1	2752	12
285	355	358	144	221	1530	3	204	1	2244	11
286	356	359	141	238	0	0	3468	11	440	3
287	357	360	142	253	0	0	3060	9	612	3
288	358	361	150	271	0	0	3816	21	0	0
289	359	362	149	307	0	0	3528	16	1528	6
290	360	363	284	175	0	0	1020	2	0	0
291	361	287	364	172	0	0	0	0	0	0
292	362	365	100	205	1020	2	3709	14	0	0
293	363	134	366	148	0	0	1326	5	0	0
294	364	367	368	68	0	0	1632	5	0	0
295	365	149	369	152	0	0	3774	11	0	0
296	366	370	371	50	0	0	0	0	1020	5
297	367	294	296	81	0	0	1020	2	0	0
298	368	372	373	54	0	0	0	0	0	0
299	369	374	70	65	0	0	0	0	0	0
300	370	375	376	62	0	0	510	1	0	0
301	371	377	374	25	0	0	0	0	0	0
302	372	70	372	48	0	0	510	1	0	0
303	373	378	372	14	0	0	0	0	0	0
304	374	373	379	48	0	0	0	0	0	0
305	375	380	378	63	0	0	0	0	0	0
306	376	379	378	72	0	0	0	0	0	0
307	377	375	379	24	0	0	0	0	0	0
308	378	379	380	55	0	0	0	0	0	0
309	379	101	381	128	0	0	408	2	0	0
310	380	382	375	140	0	0	510	1	0	0
311	381	378	358	82	0	0	0	0	0	0
312	382	383	361	67	0	0	0	0	0	0
313	383	362	353	25	0	0	0	0	0	0
314	384	351	384	46	0	0	0	0	0	0
315	386	359	377	33	0	0	0	0	0	0
316	387	355	360	61	0	0	510	1	0	0
317	388	84	353	70	0	0	1020	2	0	0
318	389	355	359	13	0	0	0	0	0	0
319	390	383	360	17	0	0	0	0	0	0
320	391	349	385	51	0	0	0	0	0	0
321	392	349	384	14	0	0	0	0	0	0
322	393	362	351	42	0	0	0	0	0	0
323	394	374	358	18	0	0	0	0	0	0
324	395	361	84	70	0	0	0	0	0	0
325	396	385	101	136	0	0	0	0	0	0
326	398	386	387	30	0	0	1020	2	0	0
327	399	388	386	34	0	0	0	0	0	0
328	400	386	389	26	0	0	0	0	0	0
329	401	390	389	35	0	0	1020	2	0	0
330	402	391	225	46	0	0	0	0	204	1
331	403	392	390	85	0	0	3626	10	0	0
332	404	388	393	152	0	0	4176	9	0	0
333	405	225	238	83	0	0	0	0	0	0
334	406	390	207	23	0	0	0	0	0	0
335	407	207	388	11	0	0	0	0	0	0
336	408	394	395	23	0	0	0	0	0	0
337	409	235	396	202	0	0	204	1	0	0
338	410	42	235	58	0	0	0	0	0	0
339	411	397	398	66	0	0	0	0	0	0
340	412	397	238	29	0	0	0	0	0	0
341	413	396	391	120	0	0	3264	7	0	0
342	414	399	400	77	0	0	2040	4	0	0
343	415	399	394	22	0	0	0	0	0	0
344	416	214	395	33	0	0	0	0	0	0
345	417	398	401	73	0	0	0	0	0	0
346	418	402	403	81	0	0	3570	7	0	0
347	419	402	400	18	0	0	0	0	0	0
348	420	404	211	94	0	0	408	2	0	0
349	421	405	406	12	0	0	0	0	0	0
350	422	407	214	57	0	0	1020	2	0	0
351	423	403	406	89	0	0	0	0	0	0
352	424	405	404	94	0	0	0	0	0	0
353	425	408	392	141	0	0	3570	7	0	0
354	426	150	409	228	0	0	1224	6	2652	13
355	427	410	296	202	0	0	3570	7	0	0
356	428	143	411	106	510	1	1122	4	408	2
357	429	259	412	135	0	0	1836	6	0	0
358	430	157	413	220	0	0	3264	7	0	0
359	431	414	363	70	0	0	0	0	0	0
360	432	364	415	62	0	0	0	0	0	0
361	433	57	416	218	0	0	4199	11	0	0
362	434	59	417	213	1020	2	816	4	0	0
363	435	418	419	106	1224	3	510	1	408	2
364	436	420	421	89	510	1	2550	5	0	0
365	440	424	425	80	0	0	510	1	0	0
366	441	426	427	90	0	0	1122	4	508	1
367	442	10	428	74	0	0	204	1	408	2
368	443	263	429	110	0	0	1836	6	0	0
369	444	142	430	228	0	0	1326	5	3264	16
370	445	153	431	166	3978	9	0	0	612	3
371	446	432	264	132	0	0	1020	2	0	0
372	447	160	432	158	0	0	2040	4	0	0
373	448	258	433	132	0	0	3876	11	0	0
374	449	434	435	259	0	0	2550	8	2244	11
375	450	268	436	46	0	0	2244	5	0	0
376	451	437	438	259	4219	10	0	0	0	0
377	452	439	278	26	0	0	0	0	0	0
378	453	68	437	131	1530	3	0	0	0	0
379	454	440	438	99	2040	4	0	0	0	0
380	455	438	439	56	3570	7	0	0	0	0
381	456	67	440	131	0	0	1530	3	0	0
382	457	437	440	11	0	0	0	0	0	0
383	458	441	290	229	0	0	4182	10	0	0
384	459	442	441	56	0	0	510	1	0	0
385	460	441	443	59	0	0	0	0	0	0
386	461	444	292	296	0	0	3634	14	0	0
387	462	69	445	97	0	0	2040	4	0	0
388	463	276	69	32	0	0	0	0	0	0
389	464	446	197	142	0	0	0	0	1428	7
390	466	447	35	170	0	0	1020	2	0	0
391	468	448	116	119	0	0	0	0	1428	7
392	469	449	309	98	0	0	510	1	204	1
393	470	450	451	13	0	0	510	1	0	0
394	476	452	453	10	0	0	510	1	0	0
395	477	453	454	9	0	0	714	2	0	0
396	480	455	456	9	0	0	510	1	0	0
397	484	373	457	51	0	0	0	0	0	0
398	485	458	459	46	0	0	0	0	0	0
399	486	401	18	89	0	0	0	0	0	0
400	487	407	18	25	0	0	0	0	0	0
401	488	408	211	40	0	0	0	0	0	0
402	489	460	461	130	0	0	0	0	0	0
403	490	80	462	44	0	0	0	0	0	0
404	491	463	464	179	0	0	0	0	0	0
405	494	465	466	127	0	0	0	0	612	3
406	495	466	467	12	0	0	0	0	0	0
407	496	464	80	7	0	0	0	0	0	0
408	497	26	191	194	0	0	1530	3	0	0
409	498	125	468	103	0	0	0	0	612	3
410	500	469	470	84	0	0	0	0	0	0
411	501	470	471	39	0	0	0	0	0	0
412	502	468	407	89	0	0	0	0	0	0
413	503	124	472	112	0	0	0	0	408	2
414	504	473	124	146	0	0	0	0	612	3
415	505	191	469	85	0	0	0	0	0	0
416	506	17	460	116	0	0	0	0	0	0
417	507	461	463	115	0	0	0	0	0	0
418	508	471	125	153	0	0	0	0	1020	5
419	509	26	190	190	0	0	1020	2	408	2
420	510	190	474	95	0	0	0	0	408	2
421	511	472	18	88	0	0	0	0	0	0
422	512	474	473	120	0	0	0	0	612	3
423	513	32	475	67	0	0	510	1	0	0
424	514	475	476	25	0	0	0	0	0	0
425	515	122	477	8	0	0	0	0	0	0
426	516	476	478	37	0	0	0	0	204	1
427	517	479	78	57	0	0	1020	2	0	0
428	518	120	479	251	0	0	3060	6	0	0
429	519	239	120	59	0	0	0	0	0	0
430	520	38	480	230	0	0	3493	18	0	0
431	521	481	220	156	0	0	1020	2	0	0
432	522	480	239	18	0	0	0	0	0	0
433	523	78	461	87	0	0	0	0	0	0
434	525	217	122	87	0	0	204	1	0	0
435	526	482	483	44	0	0	0	0	0	0
436	527	483	217	28	0	0	0	0	0	0
437	528	220	482	35	0	0	2550	5	0	0
438	529	213	481	7	0	0	0	0	0	0
439	530	3	484	81	0	0	0	0	816	4
440	531	478	485	11	0	0	0	0	0	0
441	532	485	3	102	0	0	510	1	408	2
442	533	486	213	81	0	0	0	0	0	0
443	534	477	32	105	0	0	510	1	0	0
444	535	484	487	92	0	0	0	0	1428	7
445	536	488	489	56	0	0	0	0	0	0
446	537	488	490	64	0	0	918	3	0	0
447	539	491	492	79	0	0	3060	6	0	0
448	540	492	493	116	0	0	1530	3	0	0
449	541	311	494	23	0	0	0	0	0	0
450	542	457	458	53	0	0	510	1	0	0
451	543	335	495	235	0	0	0	0	0	0
452	546	84	496	401	0	0	3804	15	408	2
453	547	497	443	55	0	0	0	0	0	0
454	548	443	291	236	0	0	3627	15	0	0
455	551	31	498	158	0	0	1020	2	0	0
456	565	499	40	260	0	0	1632	5	0	0
457	566	500	499	232	0	0	0	0	0	0
458	567	107	336	77	0	0	0	0	0	0
459	568	236	501	76	0	0	3060	6	0	0
460	570	502	503	387	0	0	4196	12	0	0
461	573	504	5	60	0	0	510	1	0	0
462	580	505	407	231	0	0	0	0	0	0
463	581	486	505	128	0	0	1020	2	0	0
464	582	461	486	8	0	0	0	0	0	0
465	583	506	486	116	0	0	0	0	0	0
466	585	79	463	62	1020	2	1530	3	0	0
467	587	507	506	178	0	0	0	0	0	0
468	588	464	507	6	0	0	0	0	0	0
469	589	81	507	7	0	0	0	0	0	0
470	590	109	80	360	0	0	3685	17	0	0
471	591	297	81	44	0	0	0	0	0	0
472	592	462	297	6	0	0	0	0	0	0
473	593	462	465	82	0	0	0	0	0	0
474	594	508	297	82	0	0	0	0	612	3
475	595	244	465	103	0	0	204	1	204	1
476	596	509	508	130	0	0	0	0	612	3
477	597	510	511	6	0	0	0	0	0	0
478	598	460	505	8	0	0	0	0	0	0
479	599	512	513	206	0	0	0	0	0	0
480	600	514	515	135	0	0	3060	6	0	0
481	601	281	516	112	0	0	1734	4	0	0
482	602	517	518	73	0	0	1020	2	0	0
483	603	516	491	80	0	0	1734	4	0	0
484	604	519	114	94	408	2	2550	5	612	3
485	605	520	489	29	0	0	0	0	0	0
486	606	319	328	33	0	0	0	0	0	0
487	607	492	517	25	0	0	0	0	0	0
488	608	521	319	45	0	0	0	0	0	0
489	609	328	522	71	0	0	1224	3	0	0
490	610	521	317	32	0	0	0	0	0	0
491	611	514	523	79	0	0	0	0	0	0
492	612	518	488	14	0	0	0	0	0	0
493	613	520	317	47	0	0	0	0	0	0
494	614	524	519	88	0	0	2040	4	408	2
495	615	114	525	25	0	0	0	0	0	0
496	616	313	514	61	0	0	0	0	0	0
497	617	523	526	68	0	0	510	1	0	0
498	618	525	313	45	0	0	0	0	0	0
499	619	53	527	94	0	0	204	1	0	0
500	620	527	311	114	510	1	0	0	1836	9
501	621	522	53	54	0	0	0	0	0	0
502	622	494	524	68	0	0	0	0	0	0
503	623	48	528	201	0	0	2448	6	0	0
504	625	275	495	184	2040	4	816	4	0	0
505	628	530	529	73	510	1	0	0	0	0
506	629	467	510	4	0	0	0	0	0	0
507	631	321	532	68	0	0	1530	3	0	0
508	632	533	321	78	0	0	612	3	0	0
509	633	531	533	74	510	1	0	0	0	0
510	634	495	530	50	0	0	510	1	0	0
511	635	245	243	97	0	0	204	1	1632	8
512	636	534	245	135	0	0	0	0	1632	8
513	637	528	535	127	0	0	1224	3	0	0
514	638	243	467	85	0	0	0	0	816	4
515	639	532	48	63	0	0	0	0	0	0
516	640	111	535	21	0	0	0	0	0	0
517	641	536	534	14	0	0	0	0	0	0
518	642	534	111	25	0	0	0	0	0	0
519	643	535	536	29	0	0	0	0	0	0
520	644	537	538	52	0	0	0	0	816	4
521	645	509	466	10	0	0	0	0	0	0
522	646	511	539	3	0	0	0	0	0	0
523	647	509	301	81	0	0	0	0	612	3
524	648	494	448	307	0	0	0	0	408	2
525	649	537	511	73	0	0	0	0	612	3
526	650	448	540	82	0	0	0	0	204	1
527	651	539	541	12	0	0	0	0	0	0
528	652	540	305	71	0	0	0	0	204	1
529	653	299	251	101	0	0	0	0	2040	10
530	654	301	299	80	0	0	0	0	1020	5
531	655	305	537	112	0	0	0	0	816	4
532	656	542	510	256	510	1	0	0	2244	11
533	657	129	543	88	0	0	1530	3	204	1
534	658	544	25	183	0	0	0	0	0	0
535	659	545	543	138	0	0	1632	5	0	0
536	660	25	546	10	0	0	0	0	0	0
537	661	546	545	183	0	0	204	1	204	1
538	662	513	544	156	0	0	510	1	408	2
539	663	545	544	11	0	0	0	0	0	0
540	664	311	542	407	0	0	2550	5	0	0
541	665	251	547	174	0	0	0	0	2448	12
542	666	548	549	83	0	0	0	0	408	2
543	667	539	550	102	0	0	0	0	612	3
544	669	541	509	8	0	0	0	0	0	0
545	670	541	548	115	0	0	0	0	816	4
546	671	550	551	97	0	0	0	0	612	3
547	674	552	553	33	0	0	0	0	0	0
548	676	307	554	93	0	0	1224	3	0	0
549	677	555	307	98	0	0	0	0	0	0
550	678	315	553	12	0	0	0	0	0	0
551	679	499	552	63	0	0	3468	8	0	0
552	680	315	45	70	0	0	510	1	0	0
553	681	45	555	100	0	0	408	2	0	0
554	682	554	556	74	0	0	510	1	0	0
555	683	187	185	110	0	0	0	0	0	0
556	684	26	557	83	0	0	0	0	0	0
557	685	558	512	819	0	0	510	1	0	0
558	686	559	546	107	0	0	0	0	204	1
559	688	186	560	254	0	0	0	0	0	0
560	689	561	1	194	0	0	0	0	0	0
561	690	185	561	177	0	0	510	1	0	0
562	691	562	187	87	0	0	0	0	0	0
563	692	560	21	86	0	0	0	0	0	0
564	693	1	186	357	0	0	0	0	0	0
565	694	543	512	223	0	0	510	1	0	0
566	695	557	562	57	0	0	0	0	0	0
567	696	21	559	85	0	0	0	0	0	0
568	698	563	564	149	0	0	2040	4	0	0
569	700	563	566	48	0	0	510	1	0	0
570	701	567	233	76	0	0	0	0	0	0
571	702	512	568	363	0	0	0	0	0	0
572	703	233	568	68	0	0	0	0	0	0
573	704	42	567	338	0	0	3792	14	204	1
574	706	179	566	137	0	0	510	1	204	1
575	707	566	175	38	0	0	0	0	0	0
576	709	512	131	103	0	0	2040	4	0	0
577	711	131	179	93	0	0	1020	2	0	0
578	712	22	569	119	0	0	510	1	0	0
579	713	26	21	12	0	0	0	0	0	0
580	714	22	570	164	0	0	0	0	0	0
581	715	159	571	102	0	0	2754	9	408	2
582	716	572	571	19	0	0	0	0	0	0
583	717	572	154	165	0	0	3060	9	204	1
584	718	352	354	73	0	0	0	0	0	0
585	721	573	103	24	0	0	0	0	0	0
586	722	574	575	50	0	0	714	2	0	0
587	723	352	573	102	0	0	1020	2	0	0
588	724	103	333	75	0	0	510	1	0	0
589	725	575	558	77	0	0	1020	2	0	0
590	726	333	574	34	0	0	1020	2	0	0
591	727	570	576	103	0	0	0	0	612	3
592	728	577	578	150	0	0	1020	2	1952	10
593	729	569	576	121	0	0	1530	3	0	0
594	730	177	570	316	0	0	0	0	3060	15
595	731	181	177	84	0	0	0	0	1428	7
596	732	578	181	82	0	0	0	0	1632	8
597	733	381	579	266	0	0	4182	10	0	0
598	735	579	558	177	0	0	2550	5	0	0
599	736	558	580	271	0	0	4080	8	0	0
600	737	578	176	82	0	0	0	0	816	4
601	738	180	578	91	0	0	0	0	1020	5
602	739	132	129	3	0	0	0	0	0	0
603	740	132	180	87	0	0	0	0	1428	7
604	741	513	543	20	0	0	0	0	0	0
605	742	565	581	55	0	0	0	0	0	0
606	743	581	582	25	0	0	510	1	0	0
607	744	583	166	227	0	0	4080	8	0	0
