ProblemType:	SP-CARP
NumberNodes:	531
NumberEdges:	780
DepotNodeNumber:	0
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	5	3.5	7	14	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4
71	179	34	109	139	0	0	0	0	0	0	0	0	0	0
72	188	112	113	17	0	0	0	0	0	0	0	0	0	0
73	189	114	110	77	0	0	0	0	0	0	0	0	0	0
74	190	115	116	125	0	0	0	0	0	0	0	0	0	0
75	191	115	112	21	0	0	0	0	0	0	0	0	0	0
76	192	110	112	60	0	0	0	0	0	0	0	0	0	0
77	194	117	118	175	0	0	2958	16	0	0	1632	8	592	5
78	195	119	120	37	0	0	153	1	0	0	204	1	116	1
79	196	121	122	176	0	0	2193	13	0	0	2652	13	1388	11
80	197	122	81	157	0	0	1836	11	0	0	2244	11	1712	13
81	198	123	124	69	0	0	459	3	0	0	612	3	0	0
82	200	126	127	10	0	0	0	0	0	0	0	0	0	0
83	203	128	129	84	0	0	0	0	0	0	0	0	0	0
84	204	130	131	96	0	0	1020	6	0	0	1224	6	1596	12
85	206	131	132	26	0	0	0	0	0	0	0	0	0	0
86	207	101	133	60	0	0	0	0	0	0	0	0	0	0
87	208	133	134	90	0	0	0	0	0	0	408	2	0	0
88	211	135	136	112	0	0	0	0	0	0	0	0	0	0
89	215	137	138	188	0	0	2686	17	0	0	3468	17	1184	10
90	216	139	138	13	0	0	0	0	0	0	0	0	0	0
91	217	140	141	112	0	0	204	1	0	0	204	1	0	0
92	222	142	143	238	0	0	1734	10	0	0	2040	10	1388	11
93	225	144	145	356	0	0	3765	38	0	0	3562	36	3296	27
94	231	146	147	23	0	0	153	1	0	0	204	1	232	2
95	232	148	146	105	0	0	867	5	0	0	1020	5	1120	8
96	233	149	150	213	0	0	3349	21	0	0	3976	21	2820	23
97	234	151	152	79	0	0	1734	11	0	0	2244	11	1272	10
98	235	153	154	46	0	0	969	6	0	0	1224	6	472	4
99	236	155	156	213	0	0	918	5	0	0	1020	5	436	3
100	237	157	158	273	0	0	0	0	0	0	408	2	0	0
101	238	159	19	183	0	0	0	0	0	0	0	0	0	0
102	245	160	161	131	0	0	0	0	0	0	0	0	0	0
103	246	162	163	129	0	0	306	2	0	0	204	1	0	0
104	247	12	164	19	0	0	153	1	0	0	204	1	232	2
105	248	165	10	57	0	0	204	1	0	0	204	1	0	0
106	250	166	167	120	0	0	816	5	0	0	816	4	232	2
107	251	168	169	105	0	0	0	0	0	0	0	0	0	0
108	254	170	168	117	0	0	0	0	0	0	0	0	0	0
109	255	169	114	28	0	0	0	0	0	0	0	0	0	0
110	256	171	172	132	0	0	204	1	0	0	204	1	408	2
111	257	173	174	32	0	0	0	0	0	0	0	0	0	0
112	258	175	176	51	0	0	0	0	0	0	0	0	0	0
113	259	175	172	24	0	0	0	0	0	0	0	0	0	0
114	262	177	178	76	0	0	0	0	0	0	0	0	0	0
115	263	179	171	46	0	0	0	0	0	0	0	0	0	0
116	264	176	173	60	0	0	0	0	0	0	0	0	0	0
117	265	174	177	70	0	0	0	0	0	0	0	0	0	0
118	266	178	180	95	0	0	0	0	0	0	0	0	0	0
119	267	100	181	228	119	1	0	0	0	0	0	0	0	0
120	268	181	179	116	0	0	0	0	0	0	0	0	0	0
121	270	183	184	109	0	0	0	0	0	0	0	0	0	0
122	271	185	186	35	0	0	0	0	0	0	408	2	0	0
123	273	187	104	505	0	0	0	0	0	0	0	0	0	0
124	274	31	47	21	0	0	0	0	0	0	0	0	0	0
125	277	52	183	44	0	0	0	0	0	0	0	0	0	0
126	278	87	170	92	0	0	0	0	0	0	0	0	0	0
127	281	182	185	29	0	0	0	0	0	0	0	0	0	0
128	283	189	47	69	0	0	0	0	0	0	0	0	0	0
129	284	31	190	55	0	0	0	0	0	0	0	0	0	0
130	286	170	61	112	0	0	0	0	0	0	0	0	0	0
131	287	186	187	26	0	0	0	0	0	0	0	0	0	0
132	291	61	52	59	0	0	0	0	0	0	0	0	0	0
133	294	178	191	81	0	0	0	0	0	0	0	0	0	0
134	295	191	192	35	0	0	204	1	0	0	204	1	0	0
135	299	191	194	59	0	0	153	1	0	0	204	1	232	2
136	300	193	178	101	0	0	0	0	0	0	0	0	0	0
137	301	194	107	145	0	0	0	0	0	0	0	0	0	0
138	304	195	196	59	0	0	0	0	0	0	0	0	0	0
139	305	197	198	35	0	0	0	0	0	0	0	0	0	0
140	307	196	109	185	0	0	0	0	0	0	0	0	0	0
141	308	199	109	88	0	0	204	1	0	0	408	2	0	0
142	309	175	198	101	0	0	0	0	0	0	0	0	0	0
143	310	200	201	120	0	0	1224	7	0	0	1224	6	524	3
144	311	202	203	109	0	0	816	5	0	0	1020	5	712	6
145	312	204	205	122	0	0	442	3	0	0	612	3	472	4
146	314	206	207	116	0	0	1819	11	0	0	2244	11	436	3
147	316	208	209	226	0	0	2737	14	0	0	2856	14	712	6
148	317	210	208	65	0	0	153	1	0	0	204	1	0	0
149	318	211	212	203	0	0	4195	35	0	0	3656	35	3056	25
150	319	212	210	252	0	0	2533	16	0	0	3264	16	1916	14
151	320	213	214	254	0	0	0	0	0	0	0	0	0	0
152	323	215	216	109	0	0	0	0	0	0	0	0	0	0
153	324	217	218	109	0	0	0	0	0	0	0	0	0	0
154	326	219	220	76	0	0	0	0	0	0	0	0	0	0
155	328	221	222	225	0	0	0	0	0	0	0	0	0	0
156	329	189	223	242	0	0	0	0	0	0	0	0	0	0
157	335	224	113	261	0	0	0	0	0	0	0	0	0	0
158	336	225	224	90	0	0	340	1	0	0	0	0	0	0
159	337	113	115	16	0	0	0	0	0	0	0	0	0	0
160	338	183	225	110	0	0	0	0	0	0	0	0	0	0
161	340	59	168	96	0	0	0	0	0	0	0	0	0	0
162	342	226	114	86	0	0	0	0	0	0	0	0	0	0
163	347	227	228	96	0	0	867	5	0	0	1020	5	612	3
164	348	229	230	138	0	0	340	1	0	0	0	0	408	2
165	350	231	232	221	0	0	2958	14	0	0	2244	11	1388	11
166	351	233	234	427	306	2	1139	6	0	0	1836	9	472	4
167	352	235	236	424	0	0	0	0	0	0	816	4	0	0
168	353	237	238	134	0	0	0	0	0	0	0	0	0	0
169	354	133	239	163	0	0	1564	8	0	0	1224	6	408	2
170	355	240	93	221	0	0	1989	10	0	0	2040	10	1680	12
171	356	241	90	238	0	0	612	3	0	0	204	1	116	1
172	357	242	91	253	0	0	204	1	0	0	204	1	204	1
173	358	243	99	271	0	0	0	0	0	0	0	0	0	0
174	359	244	98	307	0	0	204	1	0	0	204	1	204	1
175	362	245	54	205	0	0	0	0	0	0	0	0	0	0
176	363	84	246	148	0	0	0	0	0	0	0	0	0	0
177	364	247	248	68	0	0	119	1	0	0	0	0	0	0
178	365	98	249	152	0	0	0	0	0	0	0	0	0	0
179	366	250	251	50	0	0	1190	5	0	0	816	4	712	6
180	367	197	199	81	0	0	0	0	0	0	0	0	0	0
181	369	252	32	65	0	0	0	0	0	0	0	0	0	0
182	371	253	252	25	0	0	0	0	0	0	0	0	0	0
183	379	55	255	128	0	0	0	0	0	0	0	0	0	0
184	381	254	240	82	0	0	0	0	0	0	0	0	0	0
185	382	256	243	67	0	0	0	0	0	0	0	0	0	0
186	383	244	235	25	0	0	0	0	0	0	0	0	0	0
187	384	233	257	46	0	0	0	0	0	0	0	0	0	0
188	386	241	253	33	0	0	0	0	0	0	0	0	0	0
189	387	237	242	61	0	0	0	0	0	0	0	0	0	0
190	388	42	235	70	0	0	0	0	0	0	0	0	0	0
191	389	237	241	13	0	0	0	0	0	0	0	0	0	0
192	390	256	242	17	0	0	0	0	0	0	0	0	0	0
193	391	231	258	51	0	0	0	0	0	0	0	0	0	0
194	392	231	257	14	0	0	0	0	0	0	0	0	0	0
195	393	244	233	42	0	0	0	0	0	0	0	0	0	0
196	394	252	240	18	0	0	0	0	0	0	0	0	0	0
197	395	243	42	70	0	0	0	0	0	0	0	0	0	0
198	396	258	55	136	0	0	0	0	0	0	0	0	0	0
199	402	149	259	166	0	0	0	0	0	0	0	0	0	0
200	408	260	261	23	0	0	0	0	0	0	0	0	0	0
201	409	159	259	202	0	0	0	0	0	0	0	0	0	0
202	410	18	159	58	0	0	0	0	0	0	0	0	0	0
203	411	262	263	66	0	0	0	0	0	0	0	0	0	0
204	414	264	265	77	0	0	0	0	0	0	0	0	0	0
205	415	264	260	22	0	0	0	0	0	0	0	0	0	0
206	417	263	266	73	0	0	0	0	0	0	0	0	0	0
207	418	267	268	81	0	0	0	0	0	0	0	0	0	0
208	419	267	265	18	0	0	0	0	0	0	0	0	0	0
209	420	269	143	94	0	0	0	0	0	0	0	0	0	0
210	421	270	271	12	0	0	0	0	0	0	0	0	0	0
211	423	268	271	89	0	0	0	0	0	0	0	0	0	0
212	424	270	269	94	0	0	0	0	0	0	0	0	0	0
213	426	99	273	228	0	0	1445	8	0	0	1632	8	592	5
214	427	274	199	202	0	0	0	0	0	0	0	0	0	0
215	428	92	275	106	0	0	544	2	0	0	0	0	0	0
216	429	174	276	135	0	0	0	0	0	0	0	0	0	0
217	431	277	278	70	0	0	0	0	0	0	0	0	0	0
218	433	29	280	218	0	0	0	0	0	0	0	0	0	0
219	435	282	283	106	0	0	544	2	0	0	408	2	232	2
220	442	285	286	74	0	0	799	3	0	0	0	0	0	0
221	444	91	287	228	0	0	2550	13	0	0	2448	12	1156	9
222	445	102	288	166	0	0	204	1	0	0	0	0	0	0
223	446	289	177	132	0	0	0	0	0	0	0	0	0	0
224	447	106	289	158	0	0	0	0	0	0	0	0	0	0
225	448	173	290	132	0	0	0	0	0	0	0	0	0	0
226	449	291	292	259	0	0	1258	7	0	0	1632	8	948	8
227	461	293	195	296	0	0	0	0	0	0	0	0	0	0
228	464	294	136	142	0	0	1173	7	0	0	1428	7	592	5
229	468	295	69	119	0	0	663	4	0	0	816	4	232	2
230	469	296	208	98	0	0	1258	9	0	0	1836	9	116	1
231	486	266	4	89	0	0	0	0	0	0	0	0	0	0
232	487	272	4	25	0	0	0	0	0	0	0	0	0	0
233	488	297	143	40	0	0	0	0	0	0	0	0	0	0
234	489	5	298	130	0	0	0	0	0	0	0	0	0	0
235	490	39	299	44	0	0	0	0	0	0	0	0	0	0
236	491	300	301	179	0	0	0	0	0	0	0	0	0	0
237	494	302	303	127	0	0	306	2	0	0	204	1	0	0
238	495	303	304	12	0	0	0	0	0	0	0	0	0	0
239	496	301	39	7	0	0	0	0	0	0	0	0	0	0
240	497	9	132	194	0	0	0	0	0	0	0	0	0	0
241	498	76	305	103	0	0	306	2	0	0	204	1	0	0
242	500	306	307	84	0	0	0	0	0	0	0	0	0	0
243	501	307	308	39	0	0	0	0	0	0	0	0	0	0
244	502	305	272	89	0	0	0	0	0	0	0	0	0	0
245	503	75	309	112	0	0	204	1	0	0	204	1	204	1
246	504	310	75	146	0	0	493	2	0	0	408	2	556	4
247	505	132	306	85	0	0	0	0	0	0	0	0	0	0
248	507	298	300	115	0	0	0	0	0	0	0	0	0	0
249	508	308	76	153	0	0	765	5	0	0	1020	5	712	6
250	509	9	131	190	0	0	306	2	0	0	408	2	232	2
251	510	131	311	95	0	0	306	2	0	0	408	2	0	0
252	511	309	4	88	0	0	0	0	0	0	0	0	0	0
253	512	311	310	120	0	0	272	2	0	0	408	2	116	1
254	515	73	145	113	0	0	0	0	0	0	0	0	0	0
255	516	312	313	37	0	0	153	1	0	0	204	1	116	1
256	517	314	37	57	0	0	0	0	0	0	0	0	0	0
257	518	71	314	251	0	0	204	1	0	0	0	0	0	0
258	520	16	315	230	204	1	0	0	0	0	0	0	0	0
259	523	37	298	87	0	0	0	0	0	0	0	0	0	0
260	524	312	145	92	0	0	0	0	0	0	0	0	0	0
261	526	317	316	79	0	0	0	0	0	0	0	0	0	0
262	530	3	318	81	0	0	612	4	0	0	816	4	0	0
263	531	313	319	11	0	0	0	0	0	0	0	0	0	0
264	532	319	3	102	0	0	306	2	0	0	408	2	232	2
265	535	318	321	92	0	0	850	6	0	0	1224	6	796	6
266	541	211	323	23	0	0	0	0	0	0	0	0	0	0
267	543	224	324	235	0	0	0	0	0	0	0	0	0	0
268	546	42	325	401	0	0	340	1	0	0	204	1	0	0
269	567	60	225	77	0	0	0	0	0	0	0	0	0	0
270	580	326	272	231	0	0	0	0	0	0	0	0	0	0
271	581	320	326	128	0	0	0	0	0	0	0	0	0	0
272	582	298	320	8	0	0	0	0	0	0	0	0	0	0
273	583	327	320	116	0	0	0	0	0	0	0	0	0	0
274	585	38	300	62	0	0	0	0	0	0	0	0	0	0
275	587	328	327	178	0	0	0	0	0	0	0	0	0	0
276	588	301	328	6	0	0	0	0	0	0	0	0	0	0
277	589	40	328	7	0	0	0	0	0	0	0	0	0	0
278	590	62	39	360	0	0	0	0	0	0	0	0	0	0
279	591	200	40	44	0	0	0	0	0	0	0	0	0	0
280	592	299	200	6	0	0	0	0	0	0	0	0	0	0
281	593	299	302	82	0	0	0	0	0	0	0	0	0	0
282	594	329	200	82	0	0	272	2	0	0	408	2	320	2
283	595	161	302	103	0	0	340	1	0	0	204	1	232	2
284	596	330	329	130	0	0	561	3	0	0	612	3	796	6
285	597	331	332	6	0	0	0	0	0	0	0	0	0	0
286	598	5	326	8	0	0	0	0	0	0	0	0	0	0
287	599	333	334	206	0	0	0	0	0	0	0	0	0	0
288	604	336	67	94	0	0	697	3	0	0	408	2	0	0
289	606	217	222	33	0	0	0	0	0	0	0	0	0	0
290	609	222	337	71	0	0	0	0	0	0	0	0	0	0
291	614	338	336	88	0	0	153	1	0	0	204	1	0	0
292	615	67	339	25	0	0	0	0	0	0	0	0	0	0
293	618	339	213	45	0	0	0	0	0	0	0	0	0	0
294	619	27	340	94	0	0	0	0	0	0	0	0	0	0
295	620	340	211	114	0	0	323	2	0	0	408	2	408	2
296	621	337	27	54	0	0	0	0	0	0	0	0	0	0
297	622	323	338	68	0	0	0	0	0	0	0	0	0	0
298	625	184	324	184	0	0	0	0	0	0	0	0	0	0
299	629	304	331	4	0	0	0	0	0	0	0	0	0	0
300	633	342	344	74	0	0	0	0	0	0	0	0	0	0
301	634	324	341	50	0	0	0	0	0	0	0	0	0	0
302	635	162	160	97	306	2	1258	6	0	0	1632	8	232	2
303	636	345	162	135	0	0	408	2	0	0	204	1	232	2
304	638	160	304	85	0	0	1054	5	0	0	816	4	592	5
305	639	343	22	63	0	0	0	0	0	0	0	0	0	0
306	640	64	346	21	0	0	0	0	0	0	0	0	0	0
307	641	347	345	14	0	0	0	0	0	0	0	0	0	0
308	642	345	64	25	0	0	0	0	0	0	0	0	0	0
309	643	346	347	29	0	0	0	0	0	0	0	0	0	0
310	644	348	349	52	0	0	629	4	0	0	816	4	408	2
311	645	330	303	10	0	0	0	0	0	0	0	0	0	0
312	646	332	350	3	0	0	0	0	0	0	0	0	0	0
313	647	330	204	81	0	0	0	0	0	0	0	0	0	0
314	648	323	295	307	0	0	0	0	0	0	0	0	0	0
315	649	348	332	73	0	0	204	1	0	0	204	1	0	0
316	650	295	351	82	0	0	119	1	0	0	204	1	0	0
317	651	350	352	12	0	0	0	0	0	0	0	0	0	0
318	652	351	206	71	0	0	0	0	0	0	204	1	116	1
319	653	202	167	101	0	0	1768	10	0	0	2040	10	1240	9
320	654	204	202	80	0	0	1122	6	0	0	1224	6	1272	10
321	655	206	348	112	0	0	833	5	0	0	816	4	1036	8
322	656	353	331	256	0	0	1275	8	0	0	1632	8	472	4
323	657	80	354	88	0	0	0	0	0	0	0	0	0	0
324	658	355	8	183	0	0	204	1	0	0	0	0	0	0
325	659	356	354	138	0	0	0	0	0	0	0	0	0	0
326	660	8	357	10	0	0	0	0	0	0	0	0	0	0
327	661	357	356	183	0	0	204	1	0	0	0	0	0	0
328	662	334	355	156	0	0	544	2	0	0	204	1	408	2
329	663	356	355	11	0	0	0	0	0	0	0	0	0	0
330	664	211	353	407	0	0	0	0	0	0	0	0	0	0
331	665	167	358	174	0	0	2465	14	0	0	2652	13	1784	15
332	666	359	360	83	0	0	323	2	0	0	408	2	0	0
333	667	350	361	102	0	0	714	4	0	0	612	3	232	2
334	669	352	330	8	0	0	0	0	0	0	0	0	0	0
335	670	352	359	115	0	0	204	1	0	0	204	1	0	0
336	671	361	362	97	0	0	0	0	0	0	0	0	0	0
337	676	209	363	93	0	0	0	0	0	0	0	0	0	0
338	677	364	209	98	0	0	0	0	0	0	0	0	0	0
339	681	20	364	100	0	0	0	0	0	0	0	0	0	0
340	683	128	126	110	0	0	0	0	0	0	0	0	0	0
341	684	9	365	83	0	0	0	0	0	0	0	0	0	0
342	685	366	333	819	0	0	0	0	0	0	0	0	0	0
343	686	367	357	107	0	0	153	1	0	0	0	0	0	0
344	688	127	368	254	0	0	0	0	0	0	0	0	0	0
345	689	369	1	194	0	0	0	0	0	0	0	0	0	0
346	690	126	369	177	0	0	0	0	0	0	0	0	0	0
347	691	370	128	87	0	0	0	0	0	0	0	0	0	0
348	692	368	6	86	0	0	0	0	0	0	0	0	0	0
349	693	1	127	357	0	0	0	0	0	0	0	0	0	0
350	694	354	333	223	0	0	0	0	0	0	0	0	0	0
351	695	365	370	57	0	0	0	0	0	0	0	0	0	0
352	696	6	367	85	0	0	0	0	0	0	0	0	0	0
353	701	371	157	76	0	0	204	1	0	0	0	0	0	0
354	702	372	333	41	0	0	0	0	0	0	0	0	0	0
355	703	157	373	68	0	0	340	1	0	0	0	0	0	0
356	704	18	371	338	0	0	0	0	0	0	0	0	0	0
357	705	373	372	322	0	0	153	1	0	0	0	0	0	0
358	706	121	374	137	0	0	204	1	0	0	0	0	0	0
359	707	374	117	38	0	0	0	0	0	0	0	0	0	0
360	709	333	82	103	0	0	0	0	0	0	0	0	0	0
361	711	82	121	93	0	0	0	0	0	0	0	0	0	0
362	712	7	375	240	0	0	0	0	0	0	0	0	0	0
363	713	9	6	12	0	0	0	0	0	0	0	0	0	0
364	714	7	376	164	0	0	0	0	0	0	0	0	0	0
365	715	105	377	102	0	0	204	1	0	0	0	0	204	1
366	716	378	377	19	0	0	0	0	0	0	0	0	0	0
367	717	378	103	165	0	0	0	0	0	0	0	0	0	0
368	718	234	236	73	0	0	0	0	0	0	0	0	0	0
369	721	379	57	24	0	0	0	0	0	0	0	0	0	0
370	723	234	379	102	0	0	0	0	0	0	0	0	0	0
371	725	380	366	77	0	0	0	0	0	0	0	0	0	0
372	727	376	375	103	0	0	510	3	0	0	612	3	472	4
373	728	381	382	150	0	0	2227	12	0	0	2040	10	1680	12
374	730	119	376	316	0	0	2193	14	0	0	2652	13	2736	23
375	731	123	119	84	0	0	1020	6	0	0	1224	6	1528	10
376	732	382	123	82	0	0	1156	6	0	0	1224	6	1036	8
377	733	255	383	266	0	0	663	4	0	0	0	0	0	0
378	735	383	366	177	0	0	0	0	0	0	0	0	0	0
379	737	382	118	82	0	0	459	3	0	0	612	3	232	2
380	738	122	382	91	0	0	510	3	0	0	612	3	436	3
381	739	83	80	3	0	0	0	0	0	0	0	0	0	0
382	740	83	122	87	0	0	510	3	0	0	612	3	0	0
383	741	334	354	20	0	0	0	0	0	0	0	0	0	0
384	748	368	125	165	0	0	0	0	204	1	0	0	0	0
385	749	365	368	10	0	0	0	0	0	0	0	0	0	0
386	770	384	129	142	0	0	0	0	0	0	0	0	0	0
387	773	385	129	103	0	0	0	0	0	0	0	0	0	0
388	775	386	387	70	0	0	357	2	0	0	408	2	0	0
389	776	388	386	11	0	0	0	0	0	0	0	0	0	0
390	777	263	389	236	0	0	1717	9	0	0	1632	8	352	3
391	778	389	390	13	0	0	459	3	0	0	408	2	232	2
392	779	130	391	171	0	0	391	3	0	0	204	1	232	2
393	780	392	130	102	0	0	459	3	0	0	612	3	0	0
394	781	388	392	99	0	0	731	5	0	0	1020	5	232	2
395	782	390	387	85	0	0	1241	7	0	0	1428	7	232	2
396	786	393	394	128	306	2	0	0	0	0	408	2	0	0
397	787	380	58	162	0	0	0	0	0	0	0	0	0	0
398	788	58	394	64	0	0	0	0	0	0	0	0	0	0
399	789	395	139	140	0	0	0	0	0	0	0	0	0	0
400	790	396	138	141	0	0	782	5	0	0	1020	5	832	7
401	791	139	397	103	0	0	0	0	0	0	0	0	0	0
402	792	398	399	90	0	0	408	2	0	0	408	2	0	0
403	793	138	400	99	0	0	612	4	0	0	816	4	592	5
404	794	397	401	110	0	0	0	0	0	0	0	0	0	0
405	795	400	401	101	0	0	323	2	0	0	408	2	472	4
406	796	395	399	7	0	0	0	0	0	0	0	0	0	0
407	797	271	294	86	0	0	0	0	0	0	0	0	0	0
408	798	385	370	103	0	0	0	0	0	0	0	0	0	0
409	799	395	385	226	0	0	1564	10	0	0	2040	10	1304	11
410	800	294	402	104	0	0	1224	8	0	0	1428	7	952	8
411	801	402	396	180	0	0	2992	18	0	0	3468	17	1904	16
412	802	399	396	6	0	0	0	0	0	0	0	0	0	0
413	803	297	135	83	0	0	0	0	0	0	0	0	0	0
414	804	135	141	150	0	0	0	0	0	0	0	0	0	0
415	805	141	401	148	0	0	153	1	0	0	204	1	232	2
416	806	137	403	115	0	0	153	1	0	0	204	1	232	2
417	807	402	137	69	0	0	153	1	0	0	204	1	0	0
418	808	404	405	73	0	0	612	4	0	0	816	4	472	4
419	809	403	140	40	0	0	306	2	0	0	408	2	408	2
420	810	397	384	232	0	0	0	0	0	0	0	0	0	0
421	811	136	403	109	0	0	782	5	0	0	1020	5	796	6
422	812	140	405	75	0	0	578	4	0	0	816	4	1120	8
423	813	405	400	74	0	0	459	3	0	0	612	3	472	4
424	814	269	136	88	0	0	0	0	0	0	0	0	0	0
425	826	2	407	162	0	0	0	0	0	0	0	0	0	0
426	827	2	406	100	0	0	0	0	0	0	0	0	0	0
427	828	408	409	120	0	0	306	2	0	0	408	2	472	4
428	829	410	411	87	0	0	1394	9	0	0	1836	9	1236	9
429	830	408	410	10	0	0	0	0	0	0	0	0	0	0
430	831	3	408	91	0	0	969	6	0	0	1224	6	232	2
431	832	412	318	105	0	0	0	0	0	0	0	0	0	0
432	834	259	315	264	0	0	0	0	0	0	0	0	0	0
433	835	319	413	235	0	0	3747	29	0	0	4086	29	2732	23
434	836	413	414	96	0	0	884	6	0	0	1224	6	832	7
435	837	411	412	181	0	0	3672	24	0	0	3900	24	2156	16
436	838	415	411	72	0	0	1122	7	0	0	1428	7	232	2
437	839	413	415	18	0	0	0	0	0	0	0	0	0	0
438	840	407	313	123	0	0	153	1	0	0	204	1	232	2
439	841	142	407	250	0	0	4080	26	0	0	3660	23	3024	24
440	842	270	142	79	0	0	153	1	0	0	204	1	0	0
441	847	416	417	15	0	0	0	0	0	0	0	0	0	0
442	848	418	416	64	0	0	0	0	0	0	0	0	0	0
443	851	267	418	197	0	0	0	0	0	0	0	0	0	0
444	852	418	316	191	0	0	0	0	0	0	0	0	0	0
445	858	268	144	78	0	0	306	2	0	0	408	2	352	3
446	859	417	72	8	0	0	306	2	0	0	408	2	232	2
