ProblemType:	SP-CARP
NumberNodes:	191
NumberEdges:	267
DepotNodeNumber:	95
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	7	2.3	3.5	7	14	21	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5	Demand_6	Bins_6
92	505	34	106	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	506	11	102	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	507	103	111	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	508	108	26	153	0	0	0	0	765	5	0	0	0	0	1020	5	712	6
96	509	104	33	190	0	0	2040	4	306	2	0	0	0	0	1258	4	232	2
97	510	33	112	95	0	0	0	0	306	2	0	0	0	0	408	2	0	0
98	511	109	12	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	512	112	110	120	0	0	0	0	425	3	0	0	0	0	816	4	348	3
100	513	17	113	67	3570	7	0	0	1530	3	0	0	0	0	544	2	0	0
101	514	113	114	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	515	23	115	8	0	0	1530	3	238	2	0	0	0	0	322	2	0	0
103	516	114	116	37	0	0	0	0	153	1	0	0	0	0	204	1	116	1
104	517	117	20	57	0	0	850	2	0	0	510	1	0	0	510	1	0	0
105	521	118	63	156	0	0	2856	14	1224	6	3740	2	0	0	2040	4	0	0
106	523	20	103	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	525	60	23	87	1020	2	0	0	0	0	0	0	0	0	0	0	0	0
108	526	119	120	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	527	120	60	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	528	63	119	35	0	0	3568	10	0	0	0	0	0	0	1632	6	0	0
111	529	56	118	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	530	2	121	81	0	0	0	0	612	4	0	0	0	0	816	4	0	0
113	531	116	122	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	532	122	2	102	0	0	1530	3	306	2	0	0	0	0	1428	4	232	2
115	533	123	56	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	534	115	17	105	0	0	1530	3	3060	6	0	0	0	0	1360	4	0	0
117	535	121	124	92	0	0	0	0	4182	12	0	0	0	0	1428	7	1028	8
118	568	74	125	76	0	0	3737	12	0	0	510	1	0	0	2074	5	0	0
119	573	126	5	60	2550	5	0	0	0	0	1020	2	0	0	1700	1	0	0
120	580	127	99	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	581	123	127	128	0	0	4207	10	0	0	0	0	0	0	2584	6	0	0
122	582	103	123	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	583	128	123	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	585	21	111	62	1020	2	0	0	0	0	3944	6	0	0	1394	4	0	0
125	598	102	127	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	691	129	30	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	696	13	130	85	0	0	0	0	0	0	1700	1	0	0	0	0	0	0
128	713	104	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	770	131	31	142	0	0	3429	54	0	0	0	0	0	0	7480	14	0	0
130	771	31	132	147	0	0	0	0	0	0	0	0	0	0	2720	6	0	0
131	773	133	31	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	775	134	135	70	0	0	0	0	357	2	0	0	0	0	408	2	0	0
133	776	136	134	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	777	89	137	236	0	0	3489	15	5708	21	510	1	0	0	6868	28	352	3
135	778	137	138	13	0	0	0	0	459	3	0	0	0	0	408	2	232	2
136	779	32	139	171	0	0	0	0	391	3	0	0	0	0	204	1	232	2
137	780	140	32	102	0	0	0	0	459	3	0	0	0	0	612	3	0	0
138	781	136	140	99	0	0	0	0	731	5	0	0	0	0	1020	5	232	2
139	782	138	135	85	0	0	0	0	1513	9	0	0	0	0	2040	10	232	2
140	789	141	44	140	4080	8	0	0	0	0	0	0	0	0	0	0	0	0
141	790	142	43	141	0	0	0	0	782	5	0	0	0	0	1020	5	832	7
142	791	44	143	103	3919	10	0	0	1530	3	0	0	1870	1	0	0	0	0
143	792	144	145	90	0	0	0	0	408	2	0	0	0	0	408	2	0	0
144	793	43	146	99	0	0	0	0	612	4	0	0	0	0	816	4	592	5
145	794	143	147	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	795	146	147	101	0	0	0	0	323	2	0	0	0	0	408	2	472	4
147	796	141	145	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	797	98	101	86	0	0	4031	18	510	1	1870	4	0	0	850	2	0	0
149	798	133	129	103	0	0	4028	22	0	0	0	0	0	0	2720	6	0	0
150	799	141	133	226	4182	10	0	0	1564	10	0	0	0	0	2890	12	1304	11
151	800	101	148	104	0	0	0	0	1989	13	0	0	0	0	1836	9	952	8
152	801	148	142	180	0	0	0	0	2992	18	0	0	0	0	3468	17	1904	16
153	802	145	142	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	803	100	39	83	0	0	2244	11	0	0	0	0	0	0	0	0	0	0
155	804	39	46	150	0	0	0	0	4080	8	0	0	0	0	0	0	0	0
156	805	46	147	148	0	0	3472	12	3417	8	0	0	0	0	2278	3	464	4
157	806	42	149	115	0	0	0	0	578	4	0	0	0	0	1020	5	584	5
158	807	148	42	69	0	0	0	0	1394	9	0	0	0	0	1836	9	952	8
159	808	150	151	73	0	0	0	0	1003	7	0	0	0	0	1428	7	704	6
160	809	149	45	40	0	0	0	0	306	2	0	0	0	0	408	2	408	2
161	810	143	131	232	1020	2	3916	24	0	0	0	0	0	0	4012	10	0	0
162	811	40	149	109	0	0	0	0	2822	12	0	0	0	0	2448	12	1488	10
163	812	45	151	75	0	0	0	0	578	4	0	0	0	0	816	4	1120	8
164	813	151	146	74	0	0	0	0	612	4	0	0	0	0	1224	6	472	4
165	814	96	40	88	0	0	3927	14	0	0	0	0	0	0	2482	7	0	0
166	815	152	52	100	0	0	1020	2	0	0	0	0	0	0	0	0	0	0
167	816	52	48	104	0	0	2040	4	0	0	0	0	0	0	1360	3	0	0
168	817	84	152	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	818	152	47	109	0	0	3060	6	0	0	0	0	0	0	2380	6	0	0
170	819	153	152	105	0	0	2720	6	510	1	0	0	0	0	680	2	0	0
171	820	47	154	92	0	0	850	2	0	0	0	0	0	0	1428	5	0	0
172	821	49	77	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	822	100	153	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	823	153	51	116	0	0	4080	8	1530	3	0	0	0	0	3264	5	0	0
175	824	51	49	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	825	77	124	115	0	0	2193	12	0	0	0	0	0	0	510	1	0	0
177	826	0	155	162	0	0	4009	29	510	1	0	0	0	0	3570	7	0	0
178	827	0	49	100	0	0	3524	21	1530	3	0	0	0	0	4998	12	0	0
179	828	156	157	120	0	0	0	0	306	2	0	0	0	0	408	2	472	4
180	829	158	159	87	0	0	0	0	1394	9	0	0	0	0	1836	9	1236	9
181	830	156	158	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	831	2	156	91	0	0	0	0	1428	9	0	0	0	0	1836	9	232	2
183	832	160	121	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	835	122	161	235	0	0	0	0	3747	29	0	0	0	0	4086	29	2732	23
185	836	161	162	96	0	0	0	0	884	6	0	0	0	0	1224	6	832	7
186	837	159	160	181	0	0	0	0	3672	24	0	0	0	0	3900	24	2156	16
187	838	163	159	72	0	0	0	0	1122	7	0	0	0	0	1428	7	232	2
188	839	161	163	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
189	840	155	116	123	0	0	3928	9	153	1	0	0	0	0	2618	8	232	2
190	841	53	155	250	0	0	0	0	4998	29	0	0	0	0	3864	24	3024	24
191	842	97	53	79	0	0	3060	6	1683	4	0	0	0	0	1462	5	0	0
192	847	165	166	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193	848	167	165	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	849	58	168	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195	850	168	167	79	0	0	3970	9	0	0	0	0	0	0	850	2	0	0
196	851	94	167	197	0	0	1700	4	3604	5	0	0	0	0	1292	5	0	0
197	852	167	63	191	3913	9	0	0	510	1	0	0	0	0	2890	7	0	0
198	853	169	170	49	0	0	3653	19	3508	27	0	0	0	0	4760	10	0	0
199	854	168	169	115	0	0	3656	10	0	0	0	0	0	0	1190	3	0	0
200	855	86	168	160	4213	10	0	0	204	1	0	0	0	0	2788	8	0	0
201	856	127	55	75	0	0	3570	7	3786	15	850	2	0	0	4080	6	0	0
202	857	55	169	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	858	95	59	78	0	0	0	0	306	2	0	0	0	0	408	2	352	3
204	859	166	22	8	0	0	0	0	306	2	0	0	0	0	408	2	232	2
205	860	24	165	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206	861	59	24	140	0	0	4182	15	833	3	0	0	0	0	2312	7	116	1
207	862	166	120	165	0	0	3974	29	0	0	0	0	0	0	4250	10	0	0
208	863	19	3	131	2040	10	4017	25	0	0	1020	2	0	0	4420	9	0	0
209	864	3	8	129	3421	18	0	0	0	0	1785	3	1700	1	680	2	0	0
210	868	118	171	127	4219	36	0	0	0	0	0	0	0	0	6290	15	0	0
211	869	172	29	142	0	0	0	0	2278	11	0	0	0	0	2652	13	1268	10
212	870	29	173	108	0	0	0	0	1921	6	0	0	0	0	1224	6	944	8
213	871	93	172	85	0	0	3060	6	204	1	1530	3	0	0	1224	3	232	2
214	872	66	174	26	0	0	0	0	204	1	0	0	0	0	204	1	0	0
215	873	140	174	49	0	0	0	0	119	1	0	0	0	0	204	1	232	2
216	874	112	106	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217	875	174	65	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
218	876	66	112	67	0	0	0	0	493	2	0	0	0	0	408	2	472	4
219	877	106	175	106	0	0	3749	25	0	0	1870	1	0	0	5100	10	0	0
220	878	95	176	85	0	0	0	0	1870	1	0	0	0	0	0	0	0	0
221	879	177	144	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	880	176	177	247	0	0	0	0	1836	11	0	0	0	0	2040	10	712	6
223	882	175	35	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	883	144	175	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
225	884	178	179	82	0	0	0	0	663	4	0	0	0	0	816	4	352	3
226	885	28	178	77	0	0	0	0	935	5	0	0	0	0	1020	5	944	8
227	886	27	178	81	0	0	0	0	357	2	0	0	0	0	408	2	352	3
228	887	180	28	87	0	0	0	0	1207	4	0	0	0	0	612	3	640	4
229	888	181	91	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230	889	87	182	85	0	0	0	0	1020	2	0	0	0	0	0	0	0	0
231	890	109	105	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232	891	183	176	72	0	0	3825	8	238	2	0	0	0	0	2788	7	472	4
233	892	183	94	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234	893	92	184	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	894	182	181	44	0	0	0	0	578	2	0	0	0	0	612	3	464	4
236	895	105	182	62	0	0	0	0	612	3	0	0	0	0	408	2	0	0
237	896	172	109	93	0	0	0	0	1105	5	0	0	0	0	612	3	436	3
238	897	181	180	74	0	0	0	0	510	3	0	0	0	0	612	3	232	2
239	898	183	184	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240	899	184	180	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241	900	110	108	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
242	901	179	177	63	0	0	0	0	153	1	0	0	0	0	204	1	116	1
243	902	108	179	93	0	0	0	0	119	1	0	0	0	0	204	1	232	2
244	903	107	144	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245	904	67	173	29	0	0	0	0	204	1	0	0	0	0	204	1	408	2
246	905	185	135	70	0	0	0	0	1122	7	1870	1	0	0	1428	7	232	2
247	906	186	187	88	0	0	0	0	1955	9	0	0	0	0	2448	9	952	8
248	908	67	110	80	0	0	0	0	578	4	0	0	0	0	816	4	0	0
249	910	135	173	73	0	0	0	0	459	3	0	0	0	0	612	3	232	2
250	911	187	185	102	0	0	0	0	1479	9	0	0	0	0	2040	10	1068	9
251	912	70	72	69	0	0	0	0	1496	9	0	0	0	0	1632	8	472	4
252	913	188	138	75	0	0	0	0	1207	8	0	0	0	0	1632	8	0	0
253	914	72	188	38	0	0	0	0	510	3	0	0	0	0	612	3	236	2
254	915	188	137	63	0	0	0	0	153	1	0	0	0	0	204	1	0	0
255	916	88	69	76	0	0	1547	13	1377	7	0	0	0	0	1428	7	948	8
256	917	69	70	71	0	0	0	0	1224	8	0	0	0	0	1632	8	0	0
257	928	189	134	110	0	0	2550	5	0	0	1020	2	0	0	0	0	0	0
258	929	189	190	34	0	0	1700	4	0	0	0	0	0	0	850	2	0	0
259	930	164	117	263	0	0	4180	19	0	0	3400	2	0	0	2380	5	0	0
260	933	111	128	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261	934	128	171	86	3983	14	0	0	0	0	1020	2	0	0	680	2	0	0
262	-1	157	158	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
263	-2	162	163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
264	-3	62	5	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
265	-4	104	129	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	-5	164	89	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
END
