ProblemType:	SP-CARP
NumberNodes:	80
NumberEdges:	110
DepotNodeNumber:	35
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	6	2.3	3.5	7	14	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5
87	871	43	70	85	0	0	3060	6	204	1	1530	3	1224	3	232	2
88	878	35	71	85	0	0	0	0	1870	1	0	0	0	0	0	0
89	879	72	46	39	0	0	0	0	0	0	0	0	0	0	0	0
90	880	71	72	247	0	0	0	0	1836	11	0	0	2040	10	712	6
91	884	73	74	82	0	0	0	0	663	4	0	0	816	4	352	3
92	885	12	73	77	0	0	0	0	935	5	0	0	1020	5	944	8
93	886	11	73	81	0	0	0	0	357	2	0	0	408	2	352	3
94	887	75	12	87	0	0	0	0	1207	4	0	0	612	3	640	4
95	888	76	32	85	0	0	0	0	0	0	0	0	0	0	0	0
96	889	31	77	85	0	0	0	0	1020	2	0	0	0	0	0	0
97	890	47	44	27	0	0	0	0	0	0	0	0	0	0	0	0
98	891	78	71	72	0	0	3825	8	238	2	0	0	2788	7	472	4
99	892	78	34	85	0	0	0	0	0	0	0	0	0	0	0	0
100	893	33	79	85	0	0	0	0	0	0	0	0	0	0	0	0
101	894	77	76	44	0	0	0	0	578	2	0	0	612	3	464	4
102	895	44	77	62	0	0	0	0	612	3	0	0	408	2	0	0
103	896	70	47	93	0	0	0	0	1105	5	0	0	612	3	436	3
104	897	76	75	74	0	0	0	0	510	3	0	0	612	3	232	2
105	898	78	79	18	0	0	0	0	0	0	0	0	0	0	0	0
106	899	79	75	3	0	0	0	0	0	0	0	0	0	0	0	0
107	900	48	45	27	0	0	0	0	0	0	0	0	0	0	0	0
108	901	74	72	63	0	0	0	0	153	1	0	0	204	1	116	1
109	902	45	74	93	0	0	0	0	119	1	0	0	204	1	232	2
END
