ProblemType:	SP-CARP
NumberNodes:	6255
NumberEdges:	6824
DepotNodeNumber:	2735
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	4	2.3	3.5	7	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3
53	135	88	89	114	0	0	0	0	0	0	323	2
54	138	90	91	20	0	0	0	0	0	0	0	0
55	139	92	93	59	0	0	0	0	340	1	0	0
56	140	94	95	104	0	0	0	0	0	0	1377	8
57	141	96	97	36	0	0	0	0	0	0	0	0
58	144	97	98	28	0	0	0	0	3366	6	0	0
59	146	99	100	126	0	0	3086	5	0	0	0	0
60	147	100	101	61	0	0	0	0	0	0	0	0
61	149	102	103	11	0	0	0	0	0	0	570	3
62	150	103	104	103	0	0	0	0	0	0	1853	9
63	152	105	106	368	0	0	0	0	0	0	204	1
64	153	107	108	198	0	0	0	0	0	0	119	1
65	158	109	110	664	0	0	0	0	0	0	162	1
66	163	111	112	81	0	0	0	0	0	0	1599	7
67	164	113	114	38	0	0	0	0	0	0	689	4
68	165	115	116	37	0	0	0	0	0	0	323	2
69	166	116	117	15	0	0	0	0	0	0	0	0
70	168	118	119	129	0	0	0	0	680	2	0	0
71	169	119	120	47	0	0	0	0	0	0	0	0
72	170	121	122	40	0	0	0	0	0	0	485	3
73	171	122	123	39	0	0	0	0	0	0	1267	8
74	172	124	125	88	0	0	0	0	0	0	1131	7
75	173	125	126	14	0	0	0	0	0	0	162	1
76	353	127	128	54	0	0	0	0	0	0	689	4
77	354	129	130	90	0	0	0	0	162	1	969	6
78	355	131	132	48	0	0	0	0	0	0	969	6
79	468	133	134	109	0	0	0	0	2805	5	0	0
80	469	135	136	38	0	0	0	0	0	0	0	0
81	470	136	137	122	0	0	0	0	0	0	0	0
82	471	137	138	227	0	0	0	0	0	0	0	0
83	472	138	139	199	0	0	0	0	0	0	0	0
84	473	139	140	400	0	0	0	0	0	0	162	1
85	474	141	142	296	0	0	0	0	0	0	0	0
86	475	143	144	84	0	0	0	0	0	0	162	1
87	476	145	144	133	0	0	0	0	0	0	808	5
88	477	146	147	365	0	0	0	0	0	0	0	0
89	479	148	149	53	0	0	0	0	0	0	663	3
90	486	128	150	44	0	0	0	0	0	0	459	3
91	487	151	152	80	0	0	0	0	0	0	1131	7
92	492	153	154	66	0	0	0	0	0	0	0	0
93	495	134	155	8	0	0	0	0	1122	2	0	0
94	500	156	157	372	0	0	0	0	0	0	162	1
95	501	157	158	74	0	0	0	0	0	0	0	0
96	502	159	160	125	0	0	0	0	0	0	485	3
97	503	160	161	19	0	0	0	0	0	0	0	0
98	504	161	162	160	0	0	0	0	162	1	366	2
99	505	162	163	262	0	0	0	0	0	0	204	1
100	506	135	158	649	0	0	0	0	0	0	162	1
101	509	164	165	16	0	0	0	0	0	0	0	0
102	510	166	165	16	0	0	0	0	0	0	0	0
103	511	167	168	414	0	0	0	0	0	0	0	0
104	512	169	170	48	0	0	0	0	0	0	323	2
105	514	171	172	503	0	0	0	0	0	0	255	2
106	515	173	174	111	0	0	0	0	0	0	323	2
107	516	175	176	104	0	0	0	0	0	0	0	0
108	517	175	177	197	0	0	0	0	0	0	0	0
109	518	178	179	807	0	0	0	0	0	0	204	1
110	519	179	180	30	0	0	0	0	0	0	162	1
111	520	180	181	52	0	0	0	0	0	0	162	1
112	521	182	183	315	0	0	0	0	0	0	0	0
113	522	184	182	95	0	0	0	0	0	0	0	0
114	523	185	186	84	0	0	0	0	0	0	162	1
115	524	187	188	90	0	0	0	0	0	0	162	1
116	529	191	192	717	0	0	0	0	0	0	94	1
117	533	172	162	890	0	0	0	0	0	0	162	1
118	534	193	194	72	0	0	0	0	0	0	969	6
119	535	195	196	66	0	0	0	0	204	1	969	6
120	536	197	198	74	0	0	0	0	0	0	1658	10
121	537	163	173	859	0	0	0	0	0	0	366	2
122	538	199	174	259	0	0	0	0	0	0	1751	10
123	539	174	200	211	0	0	0	0	0	0	162	1
124	540	201	194	40	0	0	0	0	0	0	323	2
125	541	194	196	79	0	0	0	0	0	0	969	6
126	542	196	198	65	0	0	0	0	0	0	527	3
127	543	201	202	37	0	0	0	0	0	0	0	0
128	544	202	203	108	0	0	0	0	0	0	0	0
129	545	185	204	121	0	0	0	0	0	0	527	3
130	551	205	206	345	0	0	0	0	0	0	162	1
131	552	207	148	20	0	0	0	0	0	0	0	0
132	554	208	209	121	0	0	0	0	0	0	1386	9
133	555	205	210	434	0	0	0	0	0	0	162	1
134	556	211	210	61	0	0	0	0	0	0	0	0
135	557	212	213	135	0	0	0	0	0	0	1377	8
136	558	213	214	183	0	0	0	0	0	0	2193	14
137	559	213	208	96	0	0	0	0	0	0	502	2
138	560	208	215	107	0	0	0	0	0	0	1292	8
139	563	216	217	353	0	0	0	0	0	0	485	3
140	566	219	220	594	0	0	0	0	0	0	162	1
141	567	221	222	62	0	0	0	0	0	0	808	5
142	568	223	224	704	0	0	0	0	0	0	0	0
143	569	225	226	448	0	0	0	0	0	0	162	1
144	570	212	227	108	0	0	0	0	0	0	485	3
145	571	228	229	30	0	0	0	0	0	0	0	0
146	572	230	218	650	0	0	0	0	0	0	0	0
147	573	230	231	76	0	0	0	0	0	0	0	0
148	574	231	228	649	0	0	0	0	0	0	162	1
149	575	219	232	111	0	0	0	0	0	0	0	0
150	576	233	234	404	0	0	0	0	0	0	162	1
151	577	235	236	58	0	0	0	0	0	0	689	4
152	578	236	237	55	0	0	0	0	0	0	0	0
153	579	236	238	212	0	0	0	0	0	0	162	1
154	586	239	240	53	0	0	0	0	0	0	969	6
155	590	241	242	114	0	0	0	0	204	1	1760	9
156	591	242	243	88	0	0	0	0	0	0	1054	6
157	593	244	245	12	0	0	0	0	0	0	485	3
158	594	245	246	16	0	0	0	0	0	0	162	1
159	595	247	248	19	0	0	0	0	0	0	647	4
160	598	249	250	12	0	0	0	0	0	0	162	1
161	599	251	252	39	0	0	0	0	0	0	323	2
162	600	252	253	81	0	0	0	0	0	0	561	4
163	608	254	255	64	0	0	0	0	162	1	808	5
164	609	256	255	44	0	0	0	0	0	0	162	1
165	624	257	258	50	0	0	0	0	0	0	1054	6
166	625	259	260	111	0	0	0	0	0	0	2066	12
167	626	260	261	6	0	0	0	0	0	0	162	1
168	627	262	263	304	0	0	0	0	0	0	0	0
169	628	264	265	235	0	0	0	0	0	0	2703	17
170	629	266	267	45	0	0	0	0	0	0	0	0
171	630	267	268	40	0	0	0	0	0	0	238	2
172	631	269	270	110	0	0	0	0	0	0	485	3
173	642	271	272	93	0	0	0	0	0	0	0	0
174	645	273	274	121	0	0	0	0	0	0	485	3
175	646	275	273	142	0	0	0	0	0	0	0	0
176	648	276	277	19	0	0	0	0	0	0	162	1
177	649	277	278	116	0	0	0	0	0	0	748	3
178	650	278	279	106	0	0	0	0	0	0	0	0
179	652	280	281	718	0	0	0	0	0	0	162	1
180	653	282	283	300	0	0	0	0	0	0	0	0
181	655	285	286	110	0	0	0	0	0	0	1530	10
182	656	287	288	75	0	0	0	0	162	1	672	5
183	657	288	289	104	0	0	0	0	0	0	782	5
184	658	289	290	45	0	0	0	0	0	0	162	1
185	659	291	292	83	0	0	0	0	0	0	1088	7
186	660	293	294	64	0	0	0	0	0	0	969	6
187	661	295	296	42	0	0	0	0	0	0	255	2
188	681	297	2	108	0	0	3366	6	0	0	0	0
189	682	298	299	41	0	0	0	0	0	0	663	3
190	686	133	300	89	0	0	0	0	0	0	324	2
191	698	301	302	107	0	0	0	0	0	0	1131	7
192	705	303	304	670	0	0	0	0	0	0	0	0
193	706	305	306	26	0	0	0	0	0	0	0	0
194	718	307	308	37	0	0	0	0	0	0	162	1
195	719	309	310	41	0	0	0	0	0	0	162	1
196	720	169	304	188	0	0	0	0	0	0	323	2
197	723	311	312	50	0	0	0	0	0	0	281	2
198	726	310	313	50	0	0	0	0	0	0	323	2
199	736	289	314	42	0	0	0	0	0	0	0	0
200	737	314	315	46	0	0	0	0	1309	2	0	0
201	756	318	319	368	0	0	0	0	0	0	162	1
202	757	320	321	142	0	0	0	0	0	0	527	3
203	758	321	322	122	0	0	0	0	0	0	366	2
204	759	323	9	401	0	0	0	0	0	0	0	0
205	760	9	233	32	0	0	0	0	0	0	162	1
206	761	324	325	65	0	0	0	0	0	0	850	5
207	762	326	324	96	0	0	0	0	0	0	740	5
208	764	327	328	38	0	0	0	0	1122	2	0	0
209	765	329	330	59	0	0	0	0	0	0	0	0
210	766	330	331	69	0	0	0	0	0	0	485	3
211	767	332	333	286	0	0	0	0	0	0	0	0
212	769	334	335	86	0	0	0	0	0	0	1513	8
213	770	8	335	155	0	0	0	0	0	0	0	0
214	771	323	336	718	0	0	0	0	204	1	502	2
215	774	337	338	150	0	0	0	0	0	0	0	0
216	775	339	340	25	0	0	0	0	0	0	162	1
217	776	337	341	89	0	0	0	0	0	0	0	0
218	777	342	339	180	0	0	0	0	0	0	2304	14
219	778	343	344	177	0	0	0	0	0	0	0	0
220	779	345	346	14	0	0	0	0	0	0	162	1
221	780	346	347	7	0	0	0	0	0	0	417	3
222	781	348	349	5	0	0	0	0	0	0	0	0
223	782	349	350	5	0	0	0	0	0	0	485	3
224	790	351	352	131	0	0	0	0	0	0	0	0
225	805	353	354	82	0	0	0	0	0	0	0	0
226	826	355	356	267	0	0	0	0	0	0	0	0
227	827	357	358	77	0	0	0	0	0	0	1649	11
228	828	358	359	45	0	0	0	0	0	0	646	4
229	830	320	360	22	0	0	0	0	0	0	0	0
230	831	360	322	113	0	0	0	0	0	0	646	4
231	832	322	361	115	0	0	0	0	0	0	0	0
232	834	362	363	105	0	0	0	0	0	0	162	1
233	835	363	321	51	0	0	0	0	0	0	408	2
234	836	364	365	50	0	0	0	0	0	0	162	1
235	837	365	366	136	0	0	0	0	0	0	162	1
236	841	368	369	115	0	0	0	0	0	0	0	0
237	849	370	371	60	0	0	0	0	0	0	850	5
238	855	372	373	90	0	0	0	0	0	0	570	3
239	856	374	351	587	0	0	0	0	0	0	0	0
240	857	375	376	90	0	0	0	0	0	0	0	0
241	858	376	377	14	0	0	0	0	0	0	0	0
242	859	377	36	187	0	0	0	0	0	0	0	0
243	860	377	378	90	0	0	0	0	0	0	0	0
244	861	376	36	188	0	0	0	0	0	0	0	0
245	863	379	380	15	0	0	0	0	0	0	0	0
246	864	380	381	116	0	0	0	0	0	0	162	1
247	865	382	383	40	0	0	0	0	0	0	0	0
248	866	383	384	632	0	0	0	0	0	0	0	0
249	877	385	386	56	0	0	0	0	0	0	0	0
250	878	387	388	114	0	0	0	0	1683	3	663	3
251	957	132	389	31	0	0	0	0	0	0	162	1
252	958	390	391	92	0	0	0	0	162	1	1309	7
253	959	292	392	31	0	0	0	0	0	0	0	0
254	960	392	393	49	0	0	0	0	0	0	502	2
255	961	393	394	32	0	0	0	0	0	0	162	1
256	962	395	152	112	0	0	0	0	0	0	1471	8
257	963	152	396	99	0	0	0	0	0	0	1131	7
258	964	397	398	125	0	0	0	0	0	0	1454	9
259	965	398	399	103	0	0	0	0	0	0	1292	8
260	966	400	293	138	0	0	0	0	162	1	1335	8
261	967	401	402	371	0	0	0	0	0	0	0	0
262	968	401	262	100	0	0	0	0	0	0	0	0
263	969	403	404	65	0	0	0	0	0	0	850	5
264	970	268	405	36	0	0	0	0	0	0	204	1
265	971	405	406	60	0	0	0	0	0	0	323	2
266	972	406	407	53	0	0	0	0	0	0	162	1
267	973	407	153	108	0	0	0	0	340	1	204	1
268	974	408	409	177	0	0	0	0	0	0	366	2
269	975	410	297	120	0	0	0	0	655	1	647	4
270	976	411	410	29	0	0	0	0	0	0	323	2
271	978	386	275	120	0	0	0	0	0	0	0	0
272	980	274	412	49	0	0	0	0	0	0	1454	9
273	981	412	300	97	0	0	561	1	0	0	850	5
274	982	413	414	89	0	0	0	0	0	0	927	6
275	983	414	415	103	0	0	0	0	0	0	1581	9
276	986	416	417	72	0	0	0	0	0	0	0	0
277	988	417	418	26	0	0	0	0	0	0	0	0
278	989	418	419	65	0	0	0	0	0	0	485	3
279	990	420	421	46	0	0	0	0	0	0	323	2
280	991	421	422	8	0	0	0	0	0	0	0	0
281	992	422	423	39	0	0	0	0	0	0	323	2
282	993	397	400	83	0	0	0	0	0	0	0	0
283	994	400	420	41	0	0	0	0	0	0	0	0
284	995	420	424	43	0	0	0	0	0	0	0	0
285	996	424	263	55	0	0	0	0	0	0	0	0
286	997	257	425	13	0	0	0	0	0	0	604	4
287	998	426	427	93	0	0	0	0	0	0	1377	8
288	999	0	428	39	0	0	0	0	0	0	655	1
289	1000	429	430	27	0	0	0	0	0	0	485	3
290	1001	398	431	76	0	0	0	0	0	0	969	6
291	1002	292	432	60	0	0	0	0	0	0	850	5
292	1003	293	433	30	0	0	0	0	162	1	323	2
293	1004	424	301	106	0	0	0	0	0	0	1513	9
294	1005	421	434	52	0	0	0	0	0	0	901	6
295	1006	250	435	31	0	0	0	0	0	0	485	3
296	1007	386	436	60	0	0	0	0	0	0	689	4
297	1022	0	437	16	0	0	0	0	0	0	561	1
298	1040	438	439	120	0	0	0	0	0	0	1403	9
299	1041	440	441	151	0	0	0	0	0	0	162	1
300	1043	437	442	36	0	0	0	0	2244	4	0	0
301	1152	443	444	81	0	0	0	0	0	0	0	0
302	1153	443	445	93	0	0	0	0	0	0	162	1
303	1154	23	444	194	0	0	1309	2	0	0	655	1
304	1166	446	447	75	0	0	0	0	0	0	0	0
305	1169	448	287	44	0	0	0	0	0	0	0	0
306	1182	449	450	504	0	0	0	0	0	0	0	0
307	1183	369	12	164	0	0	0	0	0	0	0	0
308	1184	451	12	504	0	0	0	0	0	0	0	0
309	1185	12	449	13	0	0	0	0	0	0	0	0
310	1186	449	13	297	0	0	0	0	0	0	0	0
311	1198	452	453	22	0	0	0	0	0	0	0	0
312	1199	454	455	65	0	0	0	0	0	0	485	3
313	1200	455	456	94	0	0	0	0	0	0	1624	7
314	1203	457	458	31	0	0	0	0	0	0	825	4
315	1208	459	460	28	0	0	0	0	0	0	162	1
316	1213	461	462	125	0	0	0	0	0	0	0	0
317	1215	463	464	153	0	0	0	0	0	0	162	1
318	1216	464	465	61	0	0	0	0	0	0	0	0
319	1217	466	357	15	0	0	0	0	0	0	0	0
320	1330	467	468	337	0	0	0	0	0	0	0	0
321	1331	469	470	62	0	0	0	0	0	0	0	0
322	1332	471	469	64	0	0	0	0	0	0	0	0
323	1333	385	471	75	0	0	0	0	0	0	0	0
324	1343	244	248	85	0	0	0	0	0	0	1131	7
325	1345	472	473	276	0	0	0	0	0	0	0	0
326	1353	474	475	291	0	0	0	0	0	0	646	4
327	1369	476	472	212	0	0	0	0	0	0	204	1
328	1370	477	478	541	0	0	0	0	0	0	162	1
329	1371	479	480	11	0	0	0	0	0	0	0	0
330	1373	481	482	98	0	0	0	0	0	0	1250	8
331	1374	482	404	148	0	0	0	0	0	0	1428	9
332	1375	404	405	76	0	0	0	0	0	0	646	4
333	1376	483	484	67	0	0	0	0	162	1	867	4
334	1378	417	295	61	0	0	0	0	0	0	825	4
335	1379	416	485	67	0	0	0	0	0	0	808	5
336	1380	486	259	54	0	0	0	0	340	1	0	0
337	1381	259	487	55	0	0	0	0	0	0	0	0
338	1382	487	419	13	0	0	0	0	0	0	0	0
339	1383	419	484	67	0	0	0	0	0	0	162	1
340	1384	253	264	69	0	0	0	0	0	0	323	2
341	1385	264	488	71	0	0	0	0	0	0	765	5
342	1386	488	266	30	0	0	0	0	0	0	162	1
343	1387	266	413	42	0	0	0	0	0	0	323	2
344	1388	413	274	207	0	0	0	0	0	0	2448	13
345	1389	274	489	60	0	0	0	0	0	0	0	0
346	1390	489	297	94	0	0	0	0	0	0	1310	3
347	1391	490	491	68	0	0	0	0	0	0	1224	8
348	1392	492	493	46	0	0	0	0	0	0	0	0
349	1393	491	494	54	0	0	0	0	0	0	527	3
350	1395	495	407	400	0	0	0	0	340	1	2406	12
351	1396	153	496	224	0	0	0	0	0	0	808	5
352	1397	496	409	75	0	0	0	0	0	0	323	2
353	1399	395	429	21	0	0	0	0	0	0	0	0
354	1400	429	394	94	0	0	0	0	0	0	162	1
355	1401	394	391	82	0	0	0	0	0	0	0	0
356	1402	391	389	127	0	0	0	0	0	0	0	0
357	1403	389	130	77	0	0	0	0	0	0	0	0
358	1404	130	262	48	0	0	0	0	0	0	0	0
359	1405	418	497	143	0	0	0	0	0	0	1938	12
360	1410	414	257	96	0	0	0	0	0	0	442	3
361	1411	247	436	41	0	0	0	0	0	0	646	4
362	1412	250	275	42	0	0	0	0	0	0	485	3
363	1413	498	486	42	0	0	0	0	0	0	485	3
364	1414	487	499	87	0	0	0	0	0	0	1454	9
365	1415	482	426	82	0	0	0	0	0	0	706	3
366	1416	426	500	95	0	0	0	0	0	0	927	6
367	1417	500	127	64	0	0	0	0	0	0	808	5
368	1420	493	501	45	0	0	0	0	0	0	1148	6
369	1421	502	503	35	0	0	0	0	0	0	867	4
370	1422	504	505	74	0	0	0	0	0	0	808	5
371	1423	246	506	37	0	0	0	0	0	0	366	2
372	1429	493	491	22	0	0	0	0	0	0	0	0
373	1430	507	387	87	0	0	0	0	340	1	817	2
374	1431	508	509	29	0	0	0	0	0	0	570	3
375	1432	506	469	94	0	0	0	0	0	0	1012	6
376	1433	510	511	54	0	0	0	0	0	0	255	2
377	1435	512	422	66	0	0	0	0	0	0	1173	7
378	1436	513	423	52	0	0	0	0	0	0	1173	7
379	1437	423	514	58	0	0	0	0	0	0	1675	9
380	1438	301	515	69	0	0	0	0	0	0	1088	7
381	1439	392	516	42	0	0	0	0	0	0	689	4
382	1440	500	517	38	0	0	0	0	0	0	485	3
383	1441	127	518	45	0	0	0	0	0	0	485	3
384	1442	393	519	45	0	0	0	0	204	1	485	3
385	1443	520	521	375	0	0	0	0	0	0	646	4
386	1444	401	406	476	0	0	0	0	0	0	0	0
387	1445	406	522	150	0	0	0	0	0	0	808	5
388	1446	300	408	25	0	0	0	0	0	0	0	0
389	1447	492	523	115	0	0	0	0	0	0	2805	13
390	1448	524	525	240	0	0	0	0	0	0	0	0
391	1449	520	526	121	0	0	0	0	0	0	119	1
392	1450	526	527	326	0	0	0	0	0	0	0	0
393	1451	494	528	42	0	0	0	0	0	0	162	1
394	1452	528	529	46	0	0	0	0	0	0	527	3
395	1453	271	530	33	0	0	0	0	0	0	323	2
396	1457	388	531	50	0	0	0	0	561	1	459	3
397	1458	531	532	163	0	0	0	0	0	0	655	1
398	1475	533	534	71	0	0	0	0	0	0	646	4
399	1476	475	533	26	0	0	0	0	0	0	0	0
400	1477	533	535	241	0	0	0	0	0	0	2219	14
401	1478	535	536	40	0	0	0	0	0	0	485	3
402	1479	536	439	41	0	0	0	0	0	0	485	3
403	1480	440	474	31	0	0	0	0	0	0	0	0
404	1481	475	537	276	0	0	0	0	0	0	0	0
405	1482	537	281	66	0	0	0	0	0	0	0	0
406	1483	536	474	88	0	0	0	0	0	0	0	0
407	1484	538	539	327	0	0	0	0	0	0	0	0
408	1485	538	475	31	0	0	0	0	0	0	0	0
409	1552	540	541	118	0	0	0	0	0	0	3630	23
410	1553	542	543	5	0	0	0	0	0	0	162	1
411	1554	543	544	206	0	0	0	0	0	0	2788	17
412	1555	545	546	115	0	0	0	0	0	0	1411	9
413	1556	547	548	56	0	0	0	0	0	0	595	3
414	1557	548	549	92	0	0	0	0	0	0	689	4
415	1566	550	92	134	0	0	0	0	0	0	1709	11
416	1567	92	551	17	0	0	0	0	0	0	162	1
417	1568	552	553	40	0	0	0	0	561	1	323	2
418	1571	554	555	7	0	0	0	0	0	0	0	0
419	1572	555	556	169	0	0	0	0	204	1	527	3
420	1573	331	557	149	0	0	0	0	0	0	204	1
421	1574	557	558	13	0	0	0	0	0	0	0	0
422	1582	559	560	8	0	0	0	0	0	0	0	0
423	1583	560	561	47	0	0	0	0	0	0	162	1
424	1584	562	563	133	0	0	0	0	0	0	1471	9
425	1587	565	566	250	0	0	0	0	0	0	2882	14
426	1604	310	567	78	0	0	0	0	0	0	1105	7
427	1605	567	568	67	0	0	0	0	561	1	366	2
428	1606	569	570	582	0	0	0	0	0	0	94	1
429	1607	571	303	349	0	0	0	0	0	0	408	2
430	1608	571	572	177	0	0	0	0	0	0	0	0
431	1609	572	573	297	0	0	0	0	0	0	0	0
432	1610	573	574	224	0	0	0	0	0	0	0	0
433	1611	575	576	333	0	0	0	0	0	0	0	0
434	1626	577	578	351	0	0	0	0	0	0	0	0
435	1627	578	579	93	0	0	0	0	0	0	0	0
436	1628	580	581	559	0	0	0	0	0	0	94	1
437	1638	581	582	93	0	0	0	0	0	0	0	0
438	1664	583	584	106	0	0	0	0	0	0	527	3
439	1665	584	554	54	0	0	0	0	0	0	527	3
440	1666	583	585	126	0	0	0	0	0	0	646	4
441	1667	585	586	31	0	0	0	0	0	0	162	1
442	1668	587	588	165	0	0	0	0	0	0	323	2
443	1669	588	589	29	0	0	0	0	204	1	0	0
444	1670	590	587	510	0	0	0	0	0	0	527	3
445	1671	587	591	35	0	0	0	0	0	0	646	4
446	1672	583	592	84	0	0	0	0	0	0	459	3
447	1673	592	554	70	0	0	0	0	0	0	162	1
448	1674	556	593	20	0	0	0	0	0	0	162	1
449	1676	584	594	165	0	0	0	0	0	0	1012	6
450	1677	592	584	30	0	0	0	0	0	0	0	0
451	1679	592	595	34	0	0	0	0	0	0	527	3
452	1681	585	588	78	0	0	0	0	0	0	0	0
453	1682	577	526	148	0	0	0	0	0	0	204	1
454	1683	596	597	84	0	0	0	0	0	0	162	1
455	1685	598	599	151	0	0	0	0	0	0	0	0
456	1686	599	596	578	0	0	0	0	0	0	162	1
457	1687	586	600	13	0	0	0	0	0	0	162	1
458	1688	600	479	74	0	0	0	0	0	0	204	1
459	1689	479	589	25	0	0	0	0	0	0	0	0
460	1690	601	602	122	0	0	0	0	0	0	1658	10
461	1691	600	269	24	0	0	0	0	0	0	0	0
462	1692	477	603	648	0	0	0	0	0	0	162	1
463	1693	269	602	146	0	0	0	0	0	0	646	4
464	1694	602	478	663	0	0	0	0	0	0	162	1
465	1698	604	605	35	0	0	0	0	0	0	162	1
466	1699	605	606	55	0	0	0	0	238	2	0	0
467	1705	408	507	101	0	0	0	0	1964	3	0	0
468	1706	507	388	143	0	0	0	0	1122	2	485	3
469	1707	531	607	60	0	0	0	0	0	0	204	1
470	1708	607	608	14	0	0	0	0	0	0	0	0
471	1729	609	610	484	0	0	0	0	0	0	323	2
472	1730	610	611	446	0	0	0	0	0	0	281	2
473	1731	553	612	37	0	0	0	0	0	0	0	0
474	1732	158	613	95	0	0	0	0	0	0	0	0
475	1733	613	614	335	0	0	0	0	0	0	204	1
476	1734	615	616	466	0	0	0	0	0	0	0	0
477	1735	184	615	234	0	0	0	0	0	0	162	1
478	1736	617	618	46	0	0	0	0	0	0	366	2
479	1737	618	181	98	0	0	0	0	0	0	825	4
480	1738	160	619	266	0	0	0	0	0	0	0	0
481	1739	619	620	557	0	0	0	0	0	0	0	0
482	1740	178	621	335	0	0	0	0	0	0	162	1
483	1741	621	622	77	0	0	0	0	0	0	0	0
484	1742	203	623	174	0	0	0	0	1309	2	0	0
485	1743	623	624	70	0	0	0	0	0	0	0	0
486	1744	199	625	124	0	0	0	0	0	0	782	5
487	1746	207	626	31	0	0	0	0	0	0	162	1
488	1747	223	627	297	0	0	0	0	0	0	323	2
489	1748	627	628	118	0	0	0	0	0	0	0	0
490	1749	629	630	1190	0	0	0	0	0	0	485	3
491	1750	630	210	89	0	0	0	0	0	0	0	0
492	1751	626	631	151	0	0	0	0	0	0	323	2
493	1752	631	205	331	0	0	0	0	0	0	0	0
494	1753	566	632	203	0	0	0	0	0	0	0	0
495	1754	632	633	129	0	0	0	0	0	0	0	0
496	1755	634	635	320	0	0	0	0	0	0	1140	4
497	1756	635	636	188	0	0	0	0	0	0	0	0
498	1757	637	638	182	0	0	0	0	0	0	0	0
499	1758	611	639	49	0	0	0	0	0	0	0	0
500	1759	640	611	313	0	0	0	0	0	0	0	0
501	1763	641	642	63	0	0	0	0	0	0	162	1
502	1764	643	456	118	0	0	0	0	0	0	323	2
503	1765	644	463	766	0	0	0	0	0	0	162	1
504	1766	645	646	116	0	0	0	0	0	0	162	1
505	1767	647	648	314	0	0	0	0	0	0	0	0
506	1772	652	641	17	0	0	0	0	0	0	0	0
507	1804	653	654	30	0	0	0	0	0	0	0	0
508	1805	654	655	41	0	0	0	0	0	0	0	0
509	1806	656	657	100	0	0	0	0	0	0	162	1
510	1807	657	658	203	0	0	0	0	0	0	94	1
